,NOMBRE,SUBTITULO,PRECIO,PRECIO MENSUAL,KILOMETRAJE,ANIO,TIPO DE CAJA,CILINDRAJE,COMBUSTIBLE,COLOR,ESTADO,UBICACIÓN,DIRECCIÓN,PLACA,PUERTAS,AIRBAGS,IMAGEN
106,Dodge Journey,2.4 SE CREW 5P,$37.000.000,$920.902,107.000 km,2011,Secuencial,2.400,Gasolina,Plateado,usado,Bogotá D.C.,,**9 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023764/2023764_1_l.jpg.do
107,Volkswagen Gol,1.6 Confortline Hatchback Mecanico,$32.900.000,$818.856,76.950 km,2016,Mecánica,1.600,Gasolina,Azul,usado,Bogotá D.C.,Mecánica,**4 Bogota,,,https://www.carroya.com/web/images/vehiculos/2020840/2020840_14_l.jpg.do
108,Ford Ranger,2.2 XL 4x4 Chasis Diesel,$113.990.000,$2.837.127,0 km,2022,Mecánica,2.200,Diesel,Varios,nuevo,Cundinamarca,Mecánica,,2,,https://www.carroya.com/web/images/vehiculos/2011995/2011995_1_l.jpg.do
109,Renault Sandero,Zen,$54.400.000,$1.353.976,0 km,2022,Mecánica,0,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2011742/2011742_1_l.jpg.do
110,Hyundai Accent,Advance MT,$52.990.000,$1.318.882,0 km,2022,Mecánica,1.591,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2007066/2007066_1_l.jpg.do
111,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2019909/2019909_4_l.jpg.do
112,AUDI A3,,$50.000.000,$1.244.463,57.768 km,2014,Mecánica,1.200,Gasolina,Blanco,usado,Bogotá D.C.,Mecánica,**0 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022102/2022102_1_l.jpg.do
113,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2020832/2020832_4_l.jpg.do
114,Renault Logan,Intens,$57.880.000,$1.440.590,0 km,2022,Mecánica,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2011465/2011465_14_l.jpg.do
115,AUDI A1,1.4 T Sportback Ambition ST,$74.000.000,$1.841.805,22.252 km,2018,Automática,1.400,Gasolina,Plateado,usado,Bogotá D.C.,Automática,**3 Manizales,,,https://www.carroya.com/web/images/vehiculos/2022153/2022153_3_l.jpg.do
116,Renault Sandero,Life,$40.900.000,$1.017.971,27.590 km,2019,Mecánica,1.600,Gasolina,Azul,usado,Bogotá D.C.,Mecánica,**4 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023291/2023291_1_l.jpg.do
117,BMW Serie 3,330e,$124.000.000,$3.086.269,32.782 km,2018,Automática,2.000,Híbrido,Plateado,usado,Bogotá D.C.,Automática,**8 Medellin,,,https://www.carroya.com/web/images/vehiculos/2022261/2022261_3_l.jpg.do
118,Hyundai Tucson,2.0 4x2 Diesel Mecanica Full Equipo,$54.000.000,$1.344.020,94.090 km,2013,Mecánica,2.000,Diesel,Plateado,usado,Bogotá D.C.,Mecánica,**2 Bogota,,,https://www.carroya.com/web/images/vehiculos/2018262/2018262_1_l.jpg.do
119,BMW X3,Xdrive 20i,$83.500.000,$2.078.253,45.000 km,2014,Automática,2.000,Gasolina,Cafe,usado,Bogotá D.C.,,**6 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2015362/2015362_1_l.jpg.do
120,Renault Sandero,1.6 Expression Mecanico,$37.100.000,$923.391,49.860 km,2019,Mecánica,1.600,Gasolina,Gris,usado,Bogotá D.C.,Mecánica,**1 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022198/2022198_1_l.jpg.do
121,Nissan March,Active,$38.100.000,$948.281,26.290 km,2019,Mecánica,1.600,Gasolina,Gris,usado,Bogotá D.C.,,**6 Cota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023801/2023801_1_l.jpg.do
122,Jaguar F-Pace,2.0 Prestige diésel,$150.200.000,$3.738.368,50.808 km,2017,Secuencial,2.000,Diesel,Gris,usado,Bogotá D.C.,,**8 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023799/2023799_1_l.jpg.do
123,Volkswagen Fox,Xtreme,$46.500.000,$1.157.351,23.000 km,2019,Mecánica,0,Gasolina,Gris,usado,Antioquia,Mecánica,**6 Sabaneta,,,https://www.carroya.com/web/images/vehiculos/2022715/2022715_11_l.jpg.do
124,Chevrolet Luv D-max,3.0 4x4 Doble Cabina Diesel,$56.500.000,$1.406.243,280.000 km,2013,Mecánica,0,Diesel,Blanco,usado,Antioquia,Mecánica,**2 Sabaneta,,,https://www.carroya.com/web/images/vehiculos/2023852/2023852_1_l.jpg.do
125,KIA Cerato Pro,,$37.900.000,$943.303,88.500 km,2014,Mecánica,0,Gasolina,Rojo,usado,Antioquia,Mecánica,**4 Envigado,,,https://www.carroya.com/web/images/vehiculos/2023847/2023847_1_l.jpg.do
126,KIA Cerato Pro,,$42.800.000,$1.065.260,72.700 km,2015,Mecánica,1.600,Gasolina,Gris,usado,Bogotá D.C.,Mecánica,**8 Bogota,,,https://www.carroya.com/web/images/vehiculos/2021310/2021310_1_l.jpg.do
127,Mitsubishi ASX,2.0 4X4 CVT,$59.900.000,$1.490.867,81.000 km,2014,Secuencial,2.000,Gasolina,Negro,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2004326/2004326_20_l.jpg.do
128,Hyundai Tiburon,2.0 Coupe,$26.500.000,$659.565,159.000 km,2003,Mecánica,2.000,Gasolina,Rojo,usado,Bogotá D.C.,,**9 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2021030/2021030_3_l.jpg.do
129,Renault Megane II,Odeon 2.0 Automatico,$16.900.000,$420.628,76.000 km,2006,Secuencial,2.000,Gasolina,Plateado,usado,Bogotá D.C.,,**8 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023404/2023404_13_l.jpg.do
130,Ford Hot Rod,Mecanico,$25.900.000,$644.632,99.000 km,1950,Mecánica,1.600,Gasolina,Azul,usado,Bogotá D.C.,Mecánica,**5 Bogota,,,https://www.carroya.com/web/images/vehiculos/2002589/2002589_4_l.jpg.do
131,Renault Duster,Dynamique 4x4 Dakar,$33.461.318,$832.827,166.125 km,2017,Mecánica,0,Gasolina,Blanco,usado,Bogotá D.C.,Mecánica,**8 Bogota,,,https://www.carroya.com/web/images/vehiculos/2013182/2013182_1_l.jpg.do
132,Ford Ranger,3.2 XLS MT Diesel,$135.990.000,$3.384.691,0 km,2022,Mecánica,0,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2010143/2010143_20_l.jpg.do
133,Renault Duster Oroch,E2 Aut,$81.990.000,$2.040.671,0 km,2022,Automática,1.998,Gasolina,Blanco GLACIAL,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2012270/2012270_1_l.jpg.do
134,Renault Captur,Zen 2.0 Servicio Publico,$76.356.772,$1.900.464,0 km,2022,Mecánica,1.198,Gasolina,Blanco,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2005333/2005333_21_l.jpg.do
135,Ford Escape,Titanium Hibrida 4x4,$154.990.000,$3.857.587,0 km,2021,CVT,2.500,Híbrido,Varios,nuevo,Bogotá D.C.,CVT,,5,,https://www.carroya.com/web/images/vehiculos/2013565/2013565_1_l.jpg.do
136,Ford Ranger,Limited Aut,$168.990.000,$4.206.037,0 km,2022,Automática,3.198,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2016386/2016386_1_l.jpg.do
137,Renault Kwid,Outsider,$43.970.000,$1.094.381,0 km,2022,Mecánica,990,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2004110/2004110_21_l.jpg.do
138,Renault Zoe,Intens,$132.390.000,$3.295.090,0 km,2021,Automática,0,Eléctrico,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2004629/2004629_1_l.jpg.do
139,Ford Ranger,3.2 XLS MT Diesel,$135.990.000,$3.384.691,0 km,2022,Mecánica,0,Diesel,,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2014152/2014152_20_l.jpg.do
140,Volkswagen Polo,Comfortline 1.6,$62.990.000,$1.567.775,0 km,2022,null,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,null,,null,,https://www.carroya.com/web/images/vehiculos/2013136/2013136_11_l.jpg.do
141,Ford Bronco,2.0 Wildtrak 4x4,$164.990.000,$4.106.480,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2008909/2008909_1_l.jpg.do
142,Ford Ranger,Raptor Doble Cabima,$229.990.000,$5.724.283,0 km,2021,Automática,0,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,null,,https://www.carroya.com/web/images/vehiculos/1999737/1999737_13_l.jpg.do
143,Ford Bronco,1.5 Big Bend 4x4,$129.990.000,$3.235.356,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2010506/2010506_5_l.jpg.do
144,Ford Ranger,Limited,$168.990.000,$4.206.037,0 km,2022,Mecánica,3.198,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2014920/2014920_9_l.jpg.do
145,Ford Bronco,1.5 Big Bend 4x4,$132.990.000,$3.310.023,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2011530/2011530_13_l.jpg.do
146,Renault Logan,Life,$45.880.000,$1.141.919,0 km,2022,Mecánica,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2011619/2011619_2_l.jpg.do
147,Ford Ranger,XLT,$146.990.000,$3.658.473,0 km,2022,Mecánica,2.200,Diesel,Varios,nuevo,Cundinamarca,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2011974/2011974_17_l.jpg.do
148,Volkswagen T-Cross,Trendline Aut,$86.990.000,$2.165.117,0 km,2021,Automática,999,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/1958802/1958802_16_l.jpg.do
149,Ford Ranger,Limited Aut,$168.990.000,$4.206.037,0 km,2022,Automática,3.198,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2011529/2011529_8_l.jpg.do
150,Ford Mustang,GT 5.0 Premium Automatico,$189.990.000,$4.728.712,0 km,2020,0,0,,Rojo,nuevo,Bogotá D.C.,,,,,https://www.carroya.com/web/images/vehiculos/2006279/2006279_1_l.jpg.do
151,Ford Ranger,3.2 XLS MT Diesel,$132.990.000,$3.310.023,0 km,2022,Mecánica,0,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2021728/2021728_14_l.jpg.do
152,Renault Sandero,Life,$46.550.000,$1.158.595,0 km,2022,Mecánica,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2010795/2010795_1_l.jpg.do
153,Ford Ranger,3.2 XLS MT Diesel,$135.990.000,$3.384.691,0 km,2022,Mecánica,0,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2021680/2021680_19_l.jpg.do
154,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2021677/2021677_17_l.jpg.do
155,Nissan Sentra,1.8 SR Automatico,$72.000.000,$1.792.027,9.040 km,2020,Automática,1.800,Gasolina,Rojo,usado,Bogotá D.C.,,**2 Fusagasugá,,Airbags,https://www.carroya.com/web/images/vehiculos/2022144/2022144_2_l.jpg.do
156,Mazda 6,2.5 Turbo Signature,$102.000.000,$2.538.705,23.538 km,2020,Automática,2.500,Gasolina,Blanco,usado,Bogotá D.C.,,**1 Manizales,,Airbags,https://www.carroya.com/web/images/vehiculos/2022135/2022135_12_l.jpg.do
157,Renault Sandero,Life Plus,$51.100.000,$1.271.841,0 km,2022,Mecánica,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2004220/2004220_1_l.jpg.do
158,Mazda 3,2.0 Grand Touring Aut,$85.000.000,$2.115.587,23.000 km,2020,Secuencial,2.000,Gasolina,Blanco,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020961/2020961_15_l.jpg.do
159,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2021698/2021698_19_l.jpg.do
160,Volkswagen Virtus,Highline,$74.990.000,$1.866.446,0 km,2022,null,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,null,,null,,https://www.carroya.com/web/images/vehiculos/2016644/2016644_1_l.jpg.do
161,Ford Escape,SE 4x2 EcoBoost ,$114.990.000,$2.862.017,0 km,2021,Automática,0,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/1986575/1986575_29_l.jpg.do
162,Ford Bronco,1.5 Big Bend 4x4,$132.990.000,$3.310.023,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2008907/2008907_1_l.jpg.do
163,Renault Stepway,Intens,$64.390.000,$1.602.620,0 km,2022,Mecánica,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2012123/2012123_1_l.jpg.do
164,Renault Duster Oroch,Zen,$71.890.000,$1.789.289,0 km,2022,Mecánica,1.998,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2012268/2012268_5_l.jpg.do
165,Ford Escape,SE Hibrida 4x2,$124.990.000,$3.110.909,0 km,2021,CVT,2.500,Híbrido,Varios,nuevo,Cundinamarca,CVT,,5,,https://www.carroya.com/web/images/vehiculos/2012159/2012159_19_l.jpg.do
166,Renault Logan,Life Servicio Publico,$42.165.354,$1.049.464,0 km,2022,Mecánica,1.598,Gasolina,Blanco,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2004732/2004732_1_l.jpg.do
167,Ford Ranger,3.2 XLS MT Diesel,$135.990.000,$3.384.691,0 km,2022,Mecánica,0,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2021691/2021691_1_l.jpg.do
168,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2021472/2021472_10_l.jpg.do
169,Toyota 4Runner,,$60.000.000,$1.493.356,190.640 km,1998,Mecánica,3.400,Gasolina,Beige,usado,Bogotá D.C.,Mecánica,**0 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023037/2023037_1_l.jpg.do
170,Nissan Frontier NP300,,$92.000.000,$2.289.812,170.000 km,2019,Mecánica,2.500,Diesel,Blanco,usado,Bogotá D.C.,Mecánica,**7 Bogota,,,https://www.carroya.com/web/images/vehiculos/2018966/2018966_4_l.jpg.do
171,Mazda 3,,$80.000.000,$1.991.141,9.929 km,2021,Automática,0,Gasolina,Gris,usado,Bogotá D.C.,Automática,**1 Funza,,,https://www.carroya.com/web/images/vehiculos/2018549/2018549_7_l.jpg.do
172,Mercedes Benz Clase CLA,,$86.900.000,$2.162.877,44.527 km,2018,Automática,1.600,Gasolina,Gris,usado,Bogotá D.C.,Automática,**4 Bogota,,,https://www.carroya.com/web/images/vehiculos/2018965/2018965_8_l.jpg.do
173,Renault Stepway,Intens CVT,$67.890.000,$1.689.732,0 km,2022,CVT,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,CVT,,5,,https://www.carroya.com/web/images/vehiculos/2012124/2012124_14_l.jpg.do
174,Ford Explorer,XLT 2.3 Turbo,$179.990.000,$4.479.819,0 km,2021,Automática,2.300,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2017655/2017655_5_l.jpg.do
175,Ford Explorer,ST 3.0,$234.990.000,$5.848.729,0 km,2021,Automática,3.000,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2006606/2006606_1_l.jpg.do
176,Ford Bronco,1.5 Big Bend 4x4,$132.990.000,$3.310.023,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2009783/2009783_1_l.jpg.do
177,Ford Bronco,1.5 Big Bend 4x4,$129.990.000,$3.235.356,0 km,2021,Automática,1.500,Gasolina,,nuevo,Cundinamarca,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2008917/2008917_1_l.jpg.do
178,BMW i,3 Loft,$104.000.000,$2.588.484,28.700 km,2016,Automática,0,Eléctrico,Plateado,usado,Bogotá D.C.,Automática,**1 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022155/2022155_6_l.jpg.do
179,BMW Serie 5,530i,$133.000.000,$3.310.272,5.065 km,2018,Automática,2.000,Gasolina,Plateado,usado,Bogotá D.C.,Automática,**3 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022147/2022147_5_l.jpg.do
180,Ford Escape,Titanium Hibrida 4x4,$154.990.000,$3.857.587,0 km,2021,CVT,2.500,Híbrido,Varios,nuevo,Bogotá D.C.,CVT,,5,,https://www.carroya.com/web/images/vehiculos/2013597/2013597_1_l.jpg.do
181,Ford Edge,2.7 ST,$184.990.000,$4.604.265,0 km,2021,Automática,2.694,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2017648/2017648_8_l.jpg.do
182,Ford Ranger,Limited,$168.990.000,$4.206.037,0 km,2022,Mecánica,3.198,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2021469/2021469_1_l.jpg.do
183,Ford Edge,SEL 4X2,$153.990.000,$3.832.698,0 km,2021,Automática,1.999,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2018332/2018332_1_l.jpg.do
184,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2020092/2020092_17_l.jpg.do
185,Jaguar XE,Pure 2.0 T,$113.700.000,$2.829.909,11.920 km,2016,Secuencial,2.000,Gasolina,Blanco,usado,Bogotá D.C.,,**8 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023800/2023800_1_l.jpg.do
186,Citroen C3,1.6 Shine Aut,$49.000.000,$1.219.574,36.000 km,2018,Automática,1.600,Gasolina,Gris,usado,Bogotá D.C.,Automática,**5 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023307/2023307_1_l.jpg.do
187,KIA Sportage FQ,2.0 4x2 Mecanica,$41.750.000,$1.039.126,105.000 km,2014,Mecánica,1.975,Gasolina,Gris,usado,Bogotá D.C.,,**8 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2003889/2003889_20_l.jpg.do
188,BMW Serie 2,220i Coupe F22,$104.000.000,$2.588.484,23.100 km,2020,Automática,2.000,Gasolina,Negro,usado,Bogotá D.C.,Automática,**0 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022278/2022278_16_l.jpg.do
189,BMW Z4,,$86.000.000,$2.140.477,43.100 km,2012,Automática,2.000,Gasolina,Azul,usado,Bogotá D.C.,,**3 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2022145/2022145_2_l.jpg.do
190,Ford Ranger,XLS Gasolina,$106.990.000,$2.662.902,0 km,2022,Mecánica,2.500,Gasolina,Varios,nuevo,Cundinamarca,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2011905/2011905_1_l.jpg.do
191,Ford Ranger,XLS Gasolina,$102.990.000,$2.563.345,0 km,2021,Mecánica,2.500,Gasolina,Varios,nuevo,Boyacá,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/1997195/1997195_18_l.jpg.do
192,Ford Explorer,Limited 2.3,$209.990.000,$5.226.497,0 km,2021,Automática,2.300,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2006603/2006603_7_l.jpg.do
193,Ford Ranger,2.5 XLS Gas,$107.990.000,$2.687.792,0 km,2022,Mecánica,0,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2010144/2010144_1_l.jpg.do
194,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2021726/2021726_1_l.jpg.do
195,Toyota Prado,,$160.000.000,$3.982.283,160.495 km,2014,Automática,3.000,Diesel,Gris,usado,Bogotá D.C.,Automática,**8 Bogota,,,https://www.carroya.com/web/images/vehiculos/2019843/2019843_10_l.jpg.do
196,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2021470/2021470_3_l.jpg.do
197,Ford Edge,2.7 ST,$184.990.000,$4.604.265,0 km,2021,Automática,2.694,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2017651/2017651_21_l.jpg.do
198,Ford Ranger,2.5 XLS Gas,$107.990.000,$2.687.792,0 km,2021,Mecánica,0,Gasolina,,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2001856/2001856_18_l.jpg.do
