,NOMBRE,SUBTITULO,PRECIO,PRECIO MENSUAL,KILOMETRAJE,ANIO,TIPO DE CAJA,CILINDRAJE,COMBUSTIBLE,COLOR,ESTADO,UBICACIÓN,DIRECCIÓN,PLACA,PUERTAS,AIRBAGS,IMAGEN
23,Ford Ranger,3.2 XLS MT Diesel,$135.990.000,$3.384.691,0 km,2022,Mecánica,0,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2021681/2021681_20_l.jpg.do
24,Renault Koleos,Intens 4x4,$134.950.000,$3.358.806,0 km,2022,Automática,2.488,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2010793/2010793_2_l.jpg.do
25,Mini 1.6 S Turbo,Tiptronic,$65.000.000,$1.617.802,60.000 km,2014,Automática,1.600,Gasolina,Cafe,usado,Bogotá D.C.,,**9 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2006398/2006398_28_l.jpg.do
26,Renault Sandero,Life,$35.400.000,$881.080,34.000 km,2019,Mecánica,0,Gasolina,Negro,usado,Antioquia,Mecánica,**7 Medellin,,,https://www.carroya.com/web/images/vehiculos/2023854/2023854_1_l.jpg.do
27,Nissan March,Active Plus,$29.500.000,$734.233,70.000 km,2014,Mecánica,1.600,Gasolina,Gris,usado,Bogotá D.C.,Mecánica,**0 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023403/2023403_22_l.jpg.do
28,Nissan Tiida,1.8 Premium Sedan Mecanico Full Equipo,$21.950.000,$546.319,130.000 km,2008,Mecánica,1.800,Gasolina,Azul,usado,Bogotá D.C.,,**0 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2017982/2017982_10_l.jpg.do
29,Subaru XV,2.0 CVT Eyesight,$98.000.000,$2.439.148,21.000 km,2018,Secuencial,2.000,Gasolina,Plateado,usado,Bogotá D.C.,,**8 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2018470/2018470_12_l.jpg.do
30,Nissan Tiida,1.8 Premium Mecanico Full Equipo Hatchback,$24.500.000,$609.787,81.000 km,2009,Mecánica,1.800,Gasolina,Beige,usado,Bogotá D.C.,Mecánica,**7 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022838/2022838_11_l.jpg.do
31,AUDI A5,1.8 TFSI Multitronic  Coupe,$74.500.000,$1.854.250,18.000 km,2015,Secuencial,1.800,Gasolina,Negro,usado,Bogotá D.C.,,**2 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020506/2020506_1_l.jpg.do
32,BMW X5,4.4i,$159.000.000,$3.957.393,30.000 km,2016,Automática,4.400,Gasolina,Gris,usado,Bogotá D.C.,,**6 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020133/2020133_1_l.jpg.do
33,Renault Logan,1.6 Expression,$33.900.000,$843.746,87.000 km,2016,Mecánica,1.600,Gasolina,Blanco,usado,Bogotá D.C.,Mecánica,**5 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022148/2022148_9_l.jpg.do
34,Subaru Tribeca,,$80.000.000,$1.991.141,68.890 km,2014,Automática,0,Gasolina,Plateado,usado,Bogotá D.C.,Automática,**9 Envigado,,,https://www.carroya.com/web/images/vehiculos/2020314/2020314_1_l.jpg.do
35,Volvo XC 90,4.4 V8 AWD Automatica,$66.000.000,$1.642.691,82.000 km,2010,Secuencial,4.400,Gasolina,Negro,usado,Bogotá D.C.,,**9 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2008672/2008672_21_l.jpg.do
36,BMW i,3 Suite,$97.000.000,$2.414.259,28.000 km,2016,Automática,0,Eléctrico,Plateado,usado,Bogotá D.C.,,**1 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2017146/2017146_1_l.jpg.do
37,Chevrolet Tracker,1.8 LS Mecanica,$59.990.000,$1.493.107,42.000 km,2019,Mecánica,1.800,Gasolina,Blanco,usado,Bogotá D.C.,Mecánica,**7 Bogota,,,https://www.carroya.com/web/images/vehiculos/2003348/2003348_1_l.jpg.do
38,Land Rover Range Rover Evoque,2.0 SE,$113.400.000,$2.822.443,38.500 km,2015,Automática,2.000,Gasolina,Rojo,usado,Bogotá D.C.,Automática,**7 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023807/2023807_1_l.jpg.do
39,Mitsubishi ASX,,$107.200.000,$2.668.129,19.950 km,2019,Secuencial,2.000,Gasolina,Plateado,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023806/2023806_1_l.jpg.do
40,Ford Explorer,Limited 2.3,$209.990.000,$5.226.497,0 km,2021,Automática,2.300,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2006604/2006604_3_l.jpg.do
41,Hyundai Creta,Premium 4x2 Aut,$82.990.000,$2.065.560,0 km,2022,Automática,1.591,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2005470/2005470_4_l.jpg.do
42,Ford Ranger,2.5 XLS Gas,$107.990.000,$2.687.792,0 km,2022,Mecánica,0,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2014153/2014153_1_l.jpg.do
43,Volkswagen Taos,1.4 Comfortline Select,$104.990.000,$2.613.124,0 km,2022,Automática,1.395,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2021669/2021669_1_l.jpg.do
