Vendo - Automovil Antiguo Dodge Desoto 1938 - 4 Puertas,Dodge,dodge desoto D8,1938,Gasolina,4,Mecánica,Sedán,100000 km,70.000.000
Jeep Willys Cj 2a 1946 Cj2a,Jeep,Willys,1946,BEIGE BLANCO,Gasolina,2,Mecánica,2200,100000 km,40.000.000
Jeep Cj3a  Cj3a,Willys,willys Cj3a,1950,Gasolina,3,Mecánica,123 km,29.000.000
Jeep Willys  Cj3a,Jeep,Willys,1951,Gasolina,2,Mecánica,3000 km,43.000.000
Jeep Willys  1952,Jeep,Willys,1952,VERDE MILITAR,Gasolina,2,Mecánica,Camioneta,10 km,48.000.000
Ford F100,Ford,F-100,1952,Gris,Gasolina,2,Mecánica,1500,Pick-Up,125000 km,26.000.000
Jeep Willys Cj 1.3,Jeep,Willys,1952,Gasolina,3,Mecánica,3463 km,39.000.000
Volkswagen  Escarabajo Mt 1600cc,Volkswagen,Escarabajo,1953,Rojo Verona,Gasolina,2,Mecánica,1600,61997 km,16.800.000
Volkswagen Escarabajo 1600,Volkswagen,Escarabajo,1953,Rojo,Gasolina,2,Mecánica,1600,Coupé,100000 km,12.800.000
Volkswagen Escarabajo Mt 1300cc,Volkswagen,Escarabajo,1953,Habano,Gasolina,2,Mecánica,1300,Coupé,19500 km,23.800.000
Volkswagen Escarabajo,Volkswagen,Escarabajo,1954,Azul,Gasolina,3,Mecánica,1300,52300 km,25.000.000
Jeep Willys Cj3,Jeep,Willys,1954,Rojo,Gasolina,2,Mecánica,1400,Camioneta,200000 km,32.000.000
Jeep Willys Cj 4 Mt 3.2,Jeep,Willys,1954,Verde,Diésel,2,Mecánica,3200,Convertible,1 km,30.000.000
Willys 4j Carpado 2400cc Mecanico,Willys,4J,1954,Verde,Gasolina,2,Mecánica,Convertible,162000 km,29.000.000
Jeep Willys Cj4,Jeep,Willys,1954,Rojo,Gasolina,3,Mecánica,10 km,35.000.000
Ford F-100 F54 Panel Verde,Ford,F-100,1954,Verde,Gasolina,3,Mecánica,25000 km,11.500.000
Volkswagen Escarabajo 1954,Volkswagen,Escarabajo,1954,Verde,Gasolina,2,Mecánica,55000 km,23.000.000
Ford 54 1954,Ford,54,1954,Gasolina y gas,2,Mecánica,1 km,15.000.000
Volkswagen Escarabajo 1.6,Volkswagen,Escarabajo,1954,Gasolina,2,Mecánica,100000 km,14.000.000
Volkswagen Escarabajo 1.2 M/t A.a,Volkswagen,Escarabajo,1955,Amarillo,Gasolina,2,Mecánica,1.2,Hatchback,185000 km,10.900.000
Volkswagen Escarabajo 1600,Volkswagen,Escarabajo,1955,Rojo,Gasolina,3,Mecánica,1600,Coupé,56000 km,18.000.000
Volkswagen Escarabajo 1600,Volkswagen,Escarabajo,1955,Rojo,Gasolina,2,Mecánica,1600,56000 km,20.000.000
Willys 4j 2.5 Campero,Willys,4J,1955,Verde,Gasolina,2,Mecánica,2500,Convertible,180000 km,24.800.000
Volkswagen,Volkswagen,Escarabajo,1955,Rojo,Gasolina,2,Mecánica,10 km,19.500.000
Ford 1955 Ford Fairlane,Ford,1955,1955,AZUL  MARFIL,Gasolina,4,Mecánica,V8,Sedán,558000 km,29.800.000
Jeep Willys 2.2,Jeep,Willys,1955,Rojo,Gasolina,3,Mecánica,10000 km,23.000.000
Ford F100,Ford,F-100,1955,Blanco,Gasolina,2,Mecánica,Gasolina,40000 km,65.000.000
Jeep Willys,Jeep,Willys,1955,Blanco,Gasolina,2,Mecánica,1600,Convertible,100 km,45.000.000
Volkswagen Escarabajo 1955,Volkswagen,Escarabajo,1955,Azul,Gasolina,2,Mecánica,1300,Coupé,530 km,15.000.000
Chevrolet Apache 1955 Apache,Chevrolet,apache 1955,1955,Gasolina,2,Mecánica,160000 km,40.000.000
Jeep Jeep Willys Jeep Willys,Jeep,Jeep willys,1955,Gasolina,3,Mecánica,100000 km,20.000.000
Chevrolet Apache Apache,Chevrolet,Apache,1955,Gasolina,2,Mecánica,999999 km,42.000.000
Volkswagen Escarabajo Coupe,Volkswagen,Escarabajo,1956,Verde,Gasolina,2,Mecánica,1600,8500 km,17.000.000
Volkswagen  Escarabajo Aleman,Volkswagen,Escarabajo,1956,Azul,Gasolina,3,Mecánica,1600,12004 km,37.000.000
Volkswagen Escarabajo Modificado 2.3,Volkswagen,Escarabajo,1956,Blanco,Gasolina,2,Mecánica,2000 km,36.500.000
Ford F-100 Picap 1956,Ford,F-150,1956,Amarillo,Gasolina,2,Automática,10000 km,39.000
Ford Mercury 1959,Mercury,F-100,1959,Verde,Gasolina,3,Mecánica,28000,Pick-Up,600000 km,34.900.000
Volkswagen Escarabajo Escarabajo,Volkswagen,Escarabajo,1959,Gasolina,2,Mecánica,2000 km,32.000.000
Chevrolet Apache Camioneta,Chevrolet,Apache,1959,Gasolina,2,Mecánica,123 km,25.000.000
Toyota Land Cruiser 20,Toyota,Land Cruiser,1959,Gasolina,3,Mecánica,50000 km,23.000.000
Jeep General Colección,Jeep,General,1960,Verde,Gasolina,3,Mecánica,290000 km,38.000.000
Toyota Fj43 Largo Cabinado.,Toyota,FJ,1960,Rojo,Gasolina,3,Mecánica,4300,100000 km,42.000.000
Toyota Fj43 Largo Cabinado.,Toyota,FJ,1960,Rojo,Gasolina,3,Mecánica,4300,100000 km,42.000.000
Volkswagen Escarabajo 1600 Cc Mt,Volkswagen,Escarabajo,1960,Rojo,Gasolina,2,Mecánica,1600 Cc,Coupé,50000 km,16.999.000
